Name,Distance,Mass,Radius
2MASS J00040288-6410358,192,19.0,1.63
2MASS J00242463-0158201,37.7,79.0,1.09
2MASS J00274197+0503417,236,31.0,1.44
2MASSW J0030300-145033,87.2,54.0,0.98
2MASS J00345157+0523050,31,42.0,0.94
2MASS 0036+1821,28.6,42.0,0.94
2MASSW J0045214+163445,57,23.0,1.62
2MASSI J0103320+193536,70,52.0,0.98
SDSS J015141.69+124429.6,70,47.0,0.97
2MASS J02103857-3015313,101,15.0,1.53
2MASS J02340093-6442068,155,20.0,1.62
LP 771-21,53,78.0,1.08
Teegarden's star,12.578,80.0,1.27
2MASS J02535980+3206373,184,65.0,1.9
WISE J0254+0223,24,65.0,1.9
DEN 0255-4700,16.2,80.0,0.97
2MASS J03205965+1854233,47,88.0,1.15
2MASS J03231002-4631237,192,23.0,1.66
SDSS J032553.17+042540.1,59,45.0,0.95
2MASS J03341218-4953322,27.0,73.0,1.04
LP 944-20,20.9,73.0,1.43
2MASP J0345432+254023,88,74.0,1.05
Teide 1,380,55.0,3.78
2MASS J03510004-0052452,48,102.0,1.27
2MASS J03552337+1133437,29.8,20.0,1.32
2MASS J04351612-1606574,34,100.0,1.26
2MASS J04362788-4114465,142,39.0,1.97
2MASS J04433764+0002040,82,22.0,1.78
SDSS J053951.99-005902.0,41.62,61.0,1.01
2MASS J06085283-2753583,102,38.0,1.51
2MASS J07075327-4900503,60,72.0,1.03
UGPS J072227.51-054031.2,13.4,26.0,0.98
2MASS J07522390+1612157,60,68.0,2.01
DENIS J081730.0-615520,16.1,44.0,0.94
LHS 2021,55,88.0,1.15
2MASS J08533619-0329321,27.6,77.0,1.07
2MASSI J0937347+293142,20.0,42.0,0.94
2MASS J10073369-4555147,46,44.0,0.94
DEN 1048-3956,13.15,77.0,1.07
Luhman 16B,6.516,43.0,1.02
Luhman 16A,6.516,40.0,1.01
TWA 28,180,36.0,2.39
Cha 110913-773444,163,8.0,1.8
SDSS J111010.01+011613.1,63,9.0,1.24
TWA 26,137,30.0,2.2
2MASS J12074836-3900043,217,17.0,1.71
2M 1237+6526,45.6,41.0,0.94
TWA 29,262,25.0,2.0
Kelu-1A,61,63.0,0.98
Kelu-1B,61,58.0,0.98
2MASS J13204427+0409045,101,67.0,1.01
2MASS J13595510-4034582,51,63.0,1.0
ULAS J141623.94+134836.3,29.7,32.0,0.96
LHS 2924,38.5,76.0,1.06
2MASS J14392837+1929150,47,72.0,1.03
LSPM J1440+1339,72,92.0,1.19
CFBDSIR 1458+10A,104,11.1,1.5
CFBDSIR 1458+10B,104,9.0,1.3
TVLM 513-46546,35.1,75.0,1.05
2MASS 1503+2525,20.7,44.0,0.94
CFBDS J150411+102717,71,44.0,0.94
TVLM 868-110639,53,79.0,1.08
WISEPA J164715.59+563208.2,28,41.0,0.94
2MASSI J1726000+153819,114,24.0,1.4
SDSSp J175032.96+175903.9,90,47.0,0.97
2MASS J18283572-4849046,39,45.0,0.95
LSR J1835+3259,18.5,77.0,1.07
2MASSW J1841086+311727,138,67.0,1.01
2MASS J18432213+4040209,46,96.0,1.22
2MASS J20004841-7523070,105,25.0,1.88
SDSS J204749.61-071818.3,65,46.0,0.96
2MASSI J2057540-025230,47,70.0,1.02
2MASSI J2104149-103736,62,69.0,1.02
HB 2124-4228,113,94.0,1.21
2MASS J21392676+0220226,32.1,46.0,0.96
2MASS J21481628+4003593,26.3,55.0,0.99
2MASSW J2206450-421721,93,22.0,1.33
2MASSW J2208136+292121,154,27.0,1.41
2MASSW J2224438-015852,38,61.0,0.99
2MASS J22282889-4310262,35,42.0,0.94
2MASS J22373255+3922398,64,73.0,1.04
2MASSW J2244316+204343,56,12.0,1.29
2MASS J23224684-3133231,56,24.0,1.39
2MASS J23225299-6151275,148,17.0,1.59
2MASS J23515044-2537367,67,88.0,1.16
2MASSI J2356547-155310,74,80.0,1.09
WISE 0410+1502,20,6.0,1.17
WISE 0458+6434A,35.9,15.0,4.2
WISE 0458+6434B,35.9,10.0,3.8
WISE 1405+5534,25.3,30.0,0.86
